albumid,event,name,price,salt,sort_by_rating,time,userid
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,0
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
15,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,1
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
0,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
12,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
