position,source,story_key,time,userid
0,foxnews,2,1431940638,31383
1,msnbc,4,1431940638,31383
2,cnn,3,1431940638,31383
0,foxnews,2,1431940658,31383
1,msnbc,4,1431940658,31383
2,cnn,3,1431940658,31383
0,foxnews,9,1431940721,58880
1,msnbc,1,1431940721,58880
2,cnn,5,1431940721,58880
0,foxnews,9,1431940732,58880
1,msnbc,1,1431940732,58880
2,cnn,5,1431940732,58880
0,msnbc,2,1431940752,87445
1,foxnews,1,1431940752,87445
2,cnn,5,1431940752,87445
0,cnn,7,1431940755,8923
1,foxnews,3,1431940755,8923
2,msnbc,2,1431940755,8923
0,msnbc,0,1431940779,76312
1,foxnews,7,1431940779,76312
2,cnn,8,1431940779,76312
0,cnn,7,1431940848,8923
1,foxnews,3,1431940848,8923
2,msnbc,2,1431940848,8923
0,foxnews,3,1431940868,80600
1,cnn,5,1431940868,80600
2,msnbc,6,1431940868,80600
0,cnn,6,1431940870,69667
1,foxnews,1,1431940870,69667
2,msnbc,9,1431940870,69667
0,msnbc,1,1431940872,39789
1,cnn,4,1431940872,39789
2,foxnews,8,1431940872,39789
0,cnn,7,1431940896,19446
1,foxnews,8,1431940896,19446
2,msnbc,0,1431940896,19446
0,foxnews,7,1431941164,21895
1,cnn,1,1431941164,21895
2,msnbc,6,1431941164,21895
0,cnn,9,1431943825,10683
1,foxnews,6,1431943825,10683
2,msnbc,8,1431943825,10683
0,msnbc,2,1431944028,93067
1,cnn,7,1431944028,93067
2,foxnews,0,1431944028,93067
0,foxnews,0,1431944075,61911
1,cnn,5,1431944075,61911
2,msnbc,2,1431944075,61911
0,cnn,3,1431944393,57373
1,foxnews,9,1431944393,57373
2,msnbc,2,1431944393,57373
0,msnbc,5,1431944550,17107
1,foxnews,3,1431944550,17107
2,cnn,2,1431944550,17107
0,msnbc,5,1431944691,17107
1,foxnews,3,1431944691,17107
2,cnn,2,1431944691,17107
0,cnn,4,1431945335,96296
1,msnbc,0,1431945335,96296
2,foxnews,6,1431945335,96296
0,msnbc,7,1431945552,85749
1,cnn,6,1431945552,85749
2,foxnews,0,1431945552,85749
0,cnn,0,1431945652,61720
1,foxnews,5,1431945652,61720
2,msnbc,2,1431945652,61720
0,cnn,1,1431945697,82004
1,foxnews,3,1431945697,82004
2,msnbc,4,1431945697,82004
0,foxnews,5,1431945746,7777
1,cnn,7,1431945746,7777
2,msnbc,2,1431945746,7777
0,msnbc,9,1431945776,36465
1,foxnews,6,1431945776,36465
2,cnn,8,1431945776,36465
0,msnbc,7,1431945902,26050
1,cnn,0,1431945902,26050
2,foxnews,3,1431945902,26050
