story_key,summary,time,userid
8,0,1432037398,25038
5,0,1432037398,25038
4,1,1432037398,25038
8,0,1432037446,6158
4,1,1432037446,6158
6,0,1432037446,6158
2,1,1432037525,60680
5,0,1432037525,60680
7,0,1432037525,60680
5,0,1432037555,20003
4,1,1432037555,20003
7,0,1432037555,20003
3,1,1432037558,49916
2,0,1432037558,49916
6,0,1432037558,49916
0,0,1432037635,27562
7,0,1432037635,27562
6,1,1432037635,27562
9,0,1432038413,12118
3,0,1432038413,12118
2,1,1432038413,12118
1,1,1432040054,40855
2,1,1432040054,40855
5,1,1432040054,40855
1,0,1432040114,31611
0,1,1432040114,31611
8,0,1432040114,31611
