response,reversed_scale,time,userid
,0,1401403661,34416
1.0,0,1401403663,34416
2.0,0,1401403692,34416
2.0,0,1401403996,34416
2.0,0,1401408152,34416
,0,1401408247,34416
,0,1401408248,34416
1.0,0,1401408251,34416
2.0,0,1401408262,34416
1.0,1,1401590888,28252
2.0,1,1401624662,73435
3.0,1,1401634287,13403
1.0,0,1401634299,7002
2.0,0,1401634306,63403
2.0,0,1401634311,3376
2.0,0,1401634335,47229
2.0,0,1401634346,95625
3.0,0,1401634352,38429
3.0,0,1401634353,22798
3.0,1,1401634358,89667
4.0,1,1401634361,70932
2.0,1,1401634365,67401
2.0,0,1401634365,43606
2.0,1,1401634368,59544
3.0,0,1401634372,83306
3.0,1,1401634376,51644
3.0,1,1401634378,44333
2.0,0,1401634381,63331
3.0,1,1401634382,66420
3.0,0,1401634398,88107
2.0,0,1401634407,12743
4.0,1,1401634409,67053
3.0,0,1401634417,20082
3.0,1,1401634418,20471
3.0,1,1401634419,23008
4.0,1,1401634424,70101
2.0,1,1401634426,10436
3.0,0,1401634443,15517
3.0,0,1401634467,91763
2.0,1,1401634592,20416
1.0,1,1401634892,93964
4.0,1,1401635522,74845
3.0,0,1401637052,46547
2.0,1,1401637154,96941
3.0,1,1401637337,19563
3.0,0,1401638611,45459
3.0,0,1401641207,49403
3.0,1,1401641856,95886
0.0,1,1401643731,37477
4.0,1,1401652104,75914
1.0,1,1401682363,82513
3.0,0,1401690042,35667
4.0,1,1431940871,76312
2.0,0,1431940956,19446
3.0,1,1431940960,69667
2.0,0,1431941122,39789
4.0,0,1431941241,21895
3.0,0,1431941833,80600
2.0,1,1431944093,61911
2.0,1,1431944221,10683
1.0,1,1431944550,57373
3.0,0,1431944684,17107
3.0,1,1431945479,96296
2.0,0,1431945715,61720
4.0,1,1431945747,82004
3.0,0,1431945810,36465
0.0,0,1431946044,7777
4.0,0,1431946045,26050
2.0,0,1431946130,81451
3.0,1,1431946144,74771
4.0,0,1431946168,44307
2.0,0,1431946203,88752
1.0,1,1431946209,70423
3.0,0,1431946239,99579
3.0,0,1431946419,16474
3.0,0,1431946481,24893
3.0,1,1431946620,23358
2.0,0,1431946760,78373
3.0,1,1431946850,30231
4.0,0,1431946956,41939
3.0,1,1431946981,14680
3.0,0,1431947213,18036
3.0,0,1431947454,23689
3.0,0,1431947491,34398
3.0,0,1431947537,70755
4.0,0,1431947546,99286
0.0,0,1431947568,21623
3.0,0,1431947575,85938
2.0,0,1431947593,94834
2.0,0,1431947601,82571
1.0,0,1431947694,65282
3.0,0,1431947782,87176
3.0,0,1431947808,39626
2.0,1,1431947943,48541
3.0,0,1431948079,64026
3.0,1,1431948112,50442
1.0,1,1431948113,88560
2.0,1,1431948212,15547
2.0,1,1431948425,9235
3.0,0,1431948482,14324
2.0,1,1431948667,19837
1.0,1,1431948714,19837
3.0,0,1431948860,13064
2.0,0,1431948894,24707
2.0,1,1431948910,92746
2.0,1,1431949008,99175
1.0,0,1431949115,20771
2.0,1,1431949122,35701
2.0,1,1431949235,48584
2.0,1,1431949247,37641
3.0,0,1431949283,8260
3.0,1,1431949311,84677
2.0,1,1431949408,83661
3.0,1,1431949729,82273
3.0,1,1431949743,82520
2.0,1,1431949886,99053
2.0,0,1431950095,45655
1.0,1,1431950120,2263
1.0,0,1431950249,44961
3.0,0,1431950545,75265
2.0,1,1431950987,18019
2.0,0,1431951097,39037
3.0,1,1431951517,89695
3.0,1,1431951521,30021
4.0,0,1431951829,24100
4.0,1,1431951858,79361
2.0,0,1431952093,22863
3.0,0,1431952119,99662
3.0,0,1431952132,73045
3.0,1,1431952141,29346
2.0,0,1431952155,39673
3.0,1,1431952350,51075
4.0,0,1431952591,94850
2.0,1,1431952660,97480
3.0,1,1431952663,19644
4.0,1,1431952739,98986
2.0,0,1431952793,90667
1.0,0,1431952891,37398
3.0,1,1431953016,78114
3.0,1,1431953211,58038
0.0,1,1431953278,50334
2.0,0,1431953520,96752
1.0,0,1431953574,68604
4.0,1,1431953580,71978
2.0,0,1431953602,96752
1.0,1,1431953654,61652
3.0,1,1431953989,21518
1.0,0,1431954072,84487
0.0,1,1431954155,49628
3.0,0,1431954286,15763
3.0,0,1431954443,68247
0.0,0,1431954483,26442
3.0,1,1431954530,22613
1.0,0,1431954532,14725
1.0,0,1431954597,1388
4.0,1,1431954666,17718
3.0,1,1431954698,14402
3.0,1,1431954700,18760
1.0,1,1431954747,62780
3.0,1,1431954874,7871
2.0,1,1431954906,90133
2.0,1,1431955070,73215
1.0,1,1431955148,52514
2.0,0,1431955249,85269
3.0,0,1431955312,4875
4.0,0,1431955349,14082
2.0,0,1431955507,2025
2.0,1,1431955758,26394
2.0,1,1431955759,26394
4.0,1,1431955790,42071
2.0,0,1431955886,3856
3.0,1,1431955888,72517
1.0,0,1431956004,28665
3.0,0,1431956088,34694
3.0,0,1431956275,12396
4.0,0,1431956331,6072
4.0,1,1431956470,5477
2.0,1,1431956499,37254
1.0,1,1431956520,79228
1.0,1,1431956571,79228
3.0,1,1431956787,43705
4.0,1,1431956828,10121
2.0,0,1431956973,11960
4.0,1,1431957040,16602
2.0,1,1431957679,98692
