userid,story_key,position,source,summary
02856bc4-00c6-49a3-a3f1-3c43b7293551,0,2,msnbc,
02856bc4-00c6-49a3-a3f1-3c43b7293551,1,0,msnbc,
02856bc4-00c6-49a3-a3f1-3c43b7293551,2,1,foxnews,
02856bc4-00c6-49a3-a3f1-3c43b7293551,3,9,msnbc,
02856bc4-00c6-49a3-a3f1-3c43b7293551,4,3,foxnews,
02856bc4-00c6-49a3-a3f1-3c43b7293551,5,8,cnn,
02856bc4-00c6-49a3-a3f1-3c43b7293551,6,6,cnn,
02856bc4-00c6-49a3-a3f1-3c43b7293551,7,5,cnn,
02856bc4-00c6-49a3-a3f1-3c43b7293551,8,7,foxnews,
02856bc4-00c6-49a3-a3f1-3c43b7293551,9,4,msnbc,
066c7bae-cff5-4880-ba1a-558144238471,0,2,msnbc,A search is underway for six climbers who went missing while hiking Mount Rainier (WA.)
066c7bae-cff5-4880-ba1a-558144238471,0,2,msnbc,A search is underway for six climbers who went missing while hiking Mount Rainier (WA.)
066c7bae-cff5-4880-ba1a-558144238471,1,9,cnn,A funeral was held for a historic row house in Philadelphia.
066c7bae-cff5-4880-ba1a-558144238471,1,9,cnn,A funeral was held for a historic row house in Philadelphia.
066c7bae-cff5-4880-ba1a-558144238471,2,1,msnbc,
066c7bae-cff5-4880-ba1a-558144238471,2,1,msnbc,
066c7bae-cff5-4880-ba1a-558144238471,3,4,msnbc,
066c7bae-cff5-4880-ba1a-558144238471,3,4,msnbc,
066c7bae-cff5-4880-ba1a-558144238471,4,7,foxnews,
066c7bae-cff5-4880-ba1a-558144238471,4,7,foxnews,
066c7bae-cff5-4880-ba1a-558144238471,5,6,cnn,
066c7bae-cff5-4880-ba1a-558144238471,5,6,cnn,
066c7bae-cff5-4880-ba1a-558144238471,6,3,cnn,
066c7bae-cff5-4880-ba1a-558144238471,6,3,cnn,
066c7bae-cff5-4880-ba1a-558144238471,7,8,foxnews,"The National Basketball Association has reached an agreement with the wife of Clippers owner Donald Sterling to sell the team for 1 billion, following a controversy over racist remarks made by Sterling. "
066c7bae-cff5-4880-ba1a-558144238471,7,8,foxnews,"The National Basketball Association has reached an agreement with the wife of Clippers owner Donald Sterling to sell the team for 1 billion, following a controversy over racist remarks made by Sterling. "
066c7bae-cff5-4880-ba1a-558144238471,8,0,msnbc,
066c7bae-cff5-4880-ba1a-558144238471,8,0,msnbc,
066c7bae-cff5-4880-ba1a-558144238471,9,5,foxnews,
066c7bae-cff5-4880-ba1a-558144238471,9,5,foxnews,
06e306d5-d94b-467b-ba98-d40269c1d9b8,0,8,msnbc,
06e306d5-d94b-467b-ba98-d40269c1d9b8,1,0,msnbc,
06e306d5-d94b-467b-ba98-d40269c1d9b8,2,6,cnn,
06e306d5-d94b-467b-ba98-d40269c1d9b8,3,9,foxnews,
06e306d5-d94b-467b-ba98-d40269c1d9b8,4,3,foxnews,
06e306d5-d94b-467b-ba98-d40269c1d9b8,5,2,msnbc,
06e306d5-d94b-467b-ba98-d40269c1d9b8,6,1,cnn,
06e306d5-d94b-467b-ba98-d40269c1d9b8,7,4,msnbc,
06e306d5-d94b-467b-ba98-d40269c1d9b8,8,5,cnn,
06e306d5-d94b-467b-ba98-d40269c1d9b8,9,7,foxnews,
0c3f5a14-5bc2-4d3a-933c-cf82c7936b65,0,0,foxnews,
0c3f5a14-5bc2-4d3a-933c-cf82c7936b65,1,5,msnbc,
0c3f5a14-5bc2-4d3a-933c-cf82c7936b65,2,4,cnn,
0c3f5a14-5bc2-4d3a-933c-cf82c7936b65,3,3,msnbc,
0c3f5a14-5bc2-4d3a-933c-cf82c7936b65,4,9,foxnews,
0c3f5a14-5bc2-4d3a-933c-cf82c7936b65,5,6,msnbc,
0c3f5a14-5bc2-4d3a-933c-cf82c7936b65,6,2,msnbc,
0c3f5a14-5bc2-4d3a-933c-cf82c7936b65,7,7,cnn,
0c3f5a14-5bc2-4d3a-933c-cf82c7936b65,8,1,foxnews,
0c3f5a14-5bc2-4d3a-933c-cf82c7936b65,9,8,cnn,
0d937565-1e87-45ef-8fc8-0028d4b8e808,0,4,foxnews,
0d937565-1e87-45ef-8fc8-0028d4b8e808,1,5,cnn,
0d937565-1e87-45ef-8fc8-0028d4b8e808,2,1,cnn,
0d937565-1e87-45ef-8fc8-0028d4b8e808,3,6,foxnews,
0d937565-1e87-45ef-8fc8-0028d4b8e808,4,0,msnbc,
0d937565-1e87-45ef-8fc8-0028d4b8e808,5,2,cnn,
0d937565-1e87-45ef-8fc8-0028d4b8e808,6,9,msnbc,
0d937565-1e87-45ef-8fc8-0028d4b8e808,7,7,msnbc,
0d937565-1e87-45ef-8fc8-0028d4b8e808,8,3,foxnews,
0d937565-1e87-45ef-8fc8-0028d4b8e808,9,8,msnbc,
110a1c28-3e1e-40a7-8c6d-54a710c4f004,0,7,msnbc,
110a1c28-3e1e-40a7-8c6d-54a710c4f004,1,4,foxnews,
110a1c28-3e1e-40a7-8c6d-54a710c4f004,2,5,msnbc,
110a1c28-3e1e-40a7-8c6d-54a710c4f004,3,9,foxnews,
110a1c28-3e1e-40a7-8c6d-54a710c4f004,4,2,msnbc,
110a1c28-3e1e-40a7-8c6d-54a710c4f004,5,6,cnn,
110a1c28-3e1e-40a7-8c6d-54a710c4f004,6,8,foxnews,
110a1c28-3e1e-40a7-8c6d-54a710c4f004,7,0,cnn,
110a1c28-3e1e-40a7-8c6d-54a710c4f004,8,3,cnn,
110a1c28-3e1e-40a7-8c6d-54a710c4f004,9,1,msnbc,
1782f34b-cf12-47a2-b6a5-f4a451240efc,0,2,cnn,
1782f34b-cf12-47a2-b6a5-f4a451240efc,1,5,msnbc,
1782f34b-cf12-47a2-b6a5-f4a451240efc,2,6,cnn,
1782f34b-cf12-47a2-b6a5-f4a451240efc,3,8,cnn,
1782f34b-cf12-47a2-b6a5-f4a451240efc,4,1,msnbc,
1782f34b-cf12-47a2-b6a5-f4a451240efc,5,9,foxnews,
1782f34b-cf12-47a2-b6a5-f4a451240efc,6,3,foxnews,
1782f34b-cf12-47a2-b6a5-f4a451240efc,7,7,msnbc,
1782f34b-cf12-47a2-b6a5-f4a451240efc,8,4,msnbc,
1782f34b-cf12-47a2-b6a5-f4a451240efc,9,0,foxnews,
19cc9c96-e720-4306-8848-c717d70872ea,0,0,foxnews,Six climbers missing on Washington's Mount Rainier
19cc9c96-e720-4306-8848-c717d70872ea,1,2,msnbc,
19cc9c96-e720-4306-8848-c717d70872ea,2,8,cnn,
19cc9c96-e720-4306-8848-c717d70872ea,3,5,msnbc,California police unaware student had firearms before killings: report
19cc9c96-e720-4306-8848-c717d70872ea,4,7,foxnews,
19cc9c96-e720-4306-8848-c717d70872ea,5,6,foxnews,
19cc9c96-e720-4306-8848-c717d70872ea,6,1,msnbc,
19cc9c96-e720-4306-8848-c717d70872ea,7,3,cnn,"NBA moves on Clippers sale, Sterling sues for $1 billion"
19cc9c96-e720-4306-8848-c717d70872ea,8,9,msnbc,
19cc9c96-e720-4306-8848-c717d70872ea,9,4,cnn,
1d9361d9-3dec-4205-a975-aca8985bd869,0,2,msnbc,
1d9361d9-3dec-4205-a975-aca8985bd869,1,4,foxnews,
1d9361d9-3dec-4205-a975-aca8985bd869,2,0,foxnews,
1d9361d9-3dec-4205-a975-aca8985bd869,3,3,msnbc,
1d9361d9-3dec-4205-a975-aca8985bd869,4,9,cnn,
1d9361d9-3dec-4205-a975-aca8985bd869,5,1,foxnews,
1d9361d9-3dec-4205-a975-aca8985bd869,6,8,msnbc,
1d9361d9-3dec-4205-a975-aca8985bd869,7,7,cnn,
1d9361d9-3dec-4205-a975-aca8985bd869,8,5,msnbc,
1d9361d9-3dec-4205-a975-aca8985bd869,9,6,cnn,
1db647e9-ff25-445f-ba87-31dafd4acb9c,0,1,msnbc,
1db647e9-ff25-445f-ba87-31dafd4acb9c,1,2,foxnews,
1db647e9-ff25-445f-ba87-31dafd4acb9c,2,0,foxnews,
1db647e9-ff25-445f-ba87-31dafd4acb9c,3,3,foxnews,
1db647e9-ff25-445f-ba87-31dafd4acb9c,4,5,cnn,
1db647e9-ff25-445f-ba87-31dafd4acb9c,5,8,msnbc,
1db647e9-ff25-445f-ba87-31dafd4acb9c,6,7,msnbc,
1db647e9-ff25-445f-ba87-31dafd4acb9c,7,6,msnbc,
1db647e9-ff25-445f-ba87-31dafd4acb9c,8,9,cnn,
1db647e9-ff25-445f-ba87-31dafd4acb9c,9,4,cnn,
1e150e82-e32c-4970-8d5e-a46bec0c7c85,0,4,cnn,
1e150e82-e32c-4970-8d5e-a46bec0c7c85,1,5,foxnews,
1e150e82-e32c-4970-8d5e-a46bec0c7c85,2,2,cnn,
1e150e82-e32c-4970-8d5e-a46bec0c7c85,3,1,foxnews,
1e150e82-e32c-4970-8d5e-a46bec0c7c85,4,8,foxnews,
1e150e82-e32c-4970-8d5e-a46bec0c7c85,5,6,msnbc,
1e150e82-e32c-4970-8d5e-a46bec0c7c85,6,9,msnbc,
1e150e82-e32c-4970-8d5e-a46bec0c7c85,7,0,msnbc,
1e150e82-e32c-4970-8d5e-a46bec0c7c85,8,7,msnbc,
1e150e82-e32c-4970-8d5e-a46bec0c7c85,9,3,cnn,
1f119f76-8b2f-4657-84b5-8856d15b9f5c,0,6,cnn,
1f119f76-8b2f-4657-84b5-8856d15b9f5c,1,0,foxnews,
1f119f76-8b2f-4657-84b5-8856d15b9f5c,2,2,msnbc,
1f119f76-8b2f-4657-84b5-8856d15b9f5c,3,9,foxnews,
1f119f76-8b2f-4657-84b5-8856d15b9f5c,4,3,cnn,
1f119f76-8b2f-4657-84b5-8856d15b9f5c,5,7,msnbc,
1f119f76-8b2f-4657-84b5-8856d15b9f5c,6,5,cnn,
1f119f76-8b2f-4657-84b5-8856d15b9f5c,7,4,foxnews,
1f119f76-8b2f-4657-84b5-8856d15b9f5c,8,1,msnbc,
1f119f76-8b2f-4657-84b5-8856d15b9f5c,9,8,msnbc,
2089741d-deb1-4466-858a-eea861789685,0,3,foxnews,
2089741d-deb1-4466-858a-eea861789685,0,3,foxnews,
2089741d-deb1-4466-858a-eea861789685,1,7,cnn,
2089741d-deb1-4466-858a-eea861789685,1,7,cnn,
2089741d-deb1-4466-858a-eea861789685,2,9,foxnews,
2089741d-deb1-4466-858a-eea861789685,2,9,foxnews,
2089741d-deb1-4466-858a-eea861789685,3,5,msnbc,
2089741d-deb1-4466-858a-eea861789685,3,5,msnbc,
2089741d-deb1-4466-858a-eea861789685,4,4,cnn,
2089741d-deb1-4466-858a-eea861789685,4,4,cnn,
2089741d-deb1-4466-858a-eea861789685,5,1,foxnews,"California man ""does the right thing."""
2089741d-deb1-4466-858a-eea861789685,5,1,foxnews,"California man ""does the right thing."""
2089741d-deb1-4466-858a-eea861789685,6,8,msnbc,
2089741d-deb1-4466-858a-eea861789685,6,8,msnbc,
2089741d-deb1-4466-858a-eea861789685,7,2,msnbc,Donald Sterling trainwreck continues.
2089741d-deb1-4466-858a-eea861789685,7,2,msnbc,Donald Sterling trainwreck continues.
2089741d-deb1-4466-858a-eea861789685,8,6,msnbc,
2089741d-deb1-4466-858a-eea861789685,8,6,msnbc,
2089741d-deb1-4466-858a-eea861789685,9,0,cnn,Sandy hook truther busted for hiding evidence arrested in Virginia.
2089741d-deb1-4466-858a-eea861789685,9,0,cnn,Sandy hook truther busted for hiding evidence arrested in Virginia.
233f3d9d-6941-4dcb-8954-22e91a66161a,0,1,foxnews,
233f3d9d-6941-4dcb-8954-22e91a66161a,1,0,cnn,
233f3d9d-6941-4dcb-8954-22e91a66161a,2,2,cnn,
233f3d9d-6941-4dcb-8954-22e91a66161a,3,5,msnbc,
233f3d9d-6941-4dcb-8954-22e91a66161a,4,9,msnbc,
233f3d9d-6941-4dcb-8954-22e91a66161a,5,6,msnbc,
233f3d9d-6941-4dcb-8954-22e91a66161a,6,3,msnbc,
233f3d9d-6941-4dcb-8954-22e91a66161a,7,8,cnn,
233f3d9d-6941-4dcb-8954-22e91a66161a,8,7,foxnews,
233f3d9d-6941-4dcb-8954-22e91a66161a,9,4,foxnews,
2a192328-7c8d-4269-a275-ee5c763b9a0c,0,4,foxnews,
2a192328-7c8d-4269-a275-ee5c763b9a0c,0,4,foxnews,
2a192328-7c8d-4269-a275-ee5c763b9a0c,1,1,msnbc,
2a192328-7c8d-4269-a275-ee5c763b9a0c,1,1,msnbc,
2a192328-7c8d-4269-a275-ee5c763b9a0c,2,8,cnn,
2a192328-7c8d-4269-a275-ee5c763b9a0c,2,8,cnn,
2a192328-7c8d-4269-a275-ee5c763b9a0c,3,9,foxnews,
2a192328-7c8d-4269-a275-ee5c763b9a0c,3,9,foxnews,
2a192328-7c8d-4269-a275-ee5c763b9a0c,4,2,foxnews,
2a192328-7c8d-4269-a275-ee5c763b9a0c,4,2,foxnews,
2a192328-7c8d-4269-a275-ee5c763b9a0c,5,6,cnn,
2a192328-7c8d-4269-a275-ee5c763b9a0c,5,6,cnn,
2a192328-7c8d-4269-a275-ee5c763b9a0c,6,7,cnn,
2a192328-7c8d-4269-a275-ee5c763b9a0c,6,7,cnn,
2a192328-7c8d-4269-a275-ee5c763b9a0c,7,5,msnbc,
2a192328-7c8d-4269-a275-ee5c763b9a0c,7,5,msnbc,
2a192328-7c8d-4269-a275-ee5c763b9a0c,8,0,msnbc,
2a192328-7c8d-4269-a275-ee5c763b9a0c,8,0,msnbc,
2a192328-7c8d-4269-a275-ee5c763b9a0c,9,3,msnbc,
2a192328-7c8d-4269-a275-ee5c763b9a0c,9,3,msnbc,
2d846069-2c8e-4b4a-a3ff-9fb7bdd48a25,0,9,foxnews,
2d846069-2c8e-4b4a-a3ff-9fb7bdd48a25,1,0,msnbc,
2d846069-2c8e-4b4a-a3ff-9fb7bdd48a25,2,8,foxnews,
2d846069-2c8e-4b4a-a3ff-9fb7bdd48a25,3,2,cnn,
2d846069-2c8e-4b4a-a3ff-9fb7bdd48a25,4,3,msnbc,
